,CITY_ID,SHEM_YISHU,N_05-09,N_05-08,N_05-07,N_05-06,N_05-05,N_05-04,N_05-03,N_05-02,N_05-01,N_04-30,N_04-29,N_04-28,N_04-27,N_04-26,N_04-25,N_04-24,N_04-23,N_04-22,N_04-21,N_04-20,N_04-19,N_04-18,N_04-17,N_04-16,N_04-15,N_04-14,N_04-13,N_04-12,N_04-11,N_04-10,N_04-09,N_04-08,N_04-07,N_04-06,N_04-05,N_04-04,N_04-03,N_04-02,N_04-01,N_03-31,N_03-30,N_03-29,N_03-28,N_03-27,N_03-26,N_03-25,N_03-24,N_03-23,N_03-22,N_03-21,N_03-20,N_03-19,N_03-18,N_03-17,N_03-16
31,1183.0,בני ברק,724.0,730.0,737.0,798.0,795.0,765.0,667.0,614.0,622.0,627.0,690.0,880.0,1136.0,1137.0,948.0,949.0,964.0,850.0,665.0,431.0,405.0,515.0,520.0,619.0,511.0,587.0,727.0,835.0,1341.0,1361.0,1269.0,1435.0,1421.0,1299.0,1183.0,621.0,608.0,605.0,492.0,483.0,421.0,313.0,314.0,302.0,278.0,234.0,229.0,272.0,320.0,264.0,244.0,230.0,,,
32,1184.0,בת ים,1098.0,1118.0,1134.0,915.0,929.0,874.0,873.0,834.0,840.0,856.0,998.0,1191.0,1491.0,1466.0,1327.0,1359.0,1382.0,1204.0,1051.0,803.0,780.0,897.0,922.0,1033.0,1008.0,1159.0,1353.0,1755.0,1927.0,2067.0,1980.0,2405.0,2279.0,2111.0,1724.0,1509.0,1405.0,1367.0,972.0,902.0,774.0,604.0,508.0,461.0,414.0,318.0,351.0,384.0,416.0,385.0,287.0,260.0,204.0,,
33,1185.0,גבעתיים,1491.0,1518.0,1536.0,1394.0,1422.0,1392.0,1381.0,1413.0,1435.0,1462.0,1612.0,1835.0,2133.0,2107.0,1901.0,1946.0,1976.0,1842.0,1731.0,1487.0,1526.0,1636.0,1719.0,1863.0,1845.0,1908.0,2060.0,2348.0,2482.0,2525.0,2397.0,2585.0,2528.0,2409.0,2117.0,1962.0,1918.0,1905.0,1732.0,1639.0,1416.0,1165.0,1044.0,915.0,817.0,713.0,740.0,875.0,1035.0,971.0,840.0,754.0,600.0,412.0,275.0
34,1186.0,הרצלייה,2492.0,2535.0,2563.0,2297.0,2305.0,2201.0,2136.0,2102.0,2142.0,2198.0,2399.0,2710.0,3139.0,3113.0,2830.0,2908.0,2966.0,2741.0,2630.0,2314.0,2335.0,2517.0,2651.0,2826.0,2852.0,2870.0,3100.0,3448.0,3647.0,3654.0,3490.0,3734.0,3731.0,3619.0,3267.0,3032.0,3048.0,3011.0,2847.0,2819.0,2395.0,2028.0,1802.0,1601.0,1440.0,1159.0,1041.0,1212.0,1358.0,1255.0,1021.0,925.0,721.0,470.0,293.0
35,1187.0,חדרה,503.0,508.0,532.0,492.0,510.0,502.0,525.0,536.0,580.0,614.0,716.0,802.0,916.0,963.0,1023.0,1183.0,1928.0,1838.0,1795.0,1732.0,1826.0,2077.0,2299.0,2042.0,2372.0,2422.0,2499.0,2473.0,2258.0,1993.0,1500.0,1252.0,1214.0,1130.0,993.0,920.0,880.0,894.0,854.0,809.0,701.0,619.0,548.0,473.0,406.0,320.0,358.0,425.0,475.0,431.0,353.0,328.0,274.0,,
36,1188.0,חולון,2490.0,2515.0,2546.0,2143.0,2150.0,2079.0,1989.0,1995.0,2045.0,2075.0,2279.0,2659.0,3270.0,3291.0,2971.0,2997.0,3015.0,2737.0,2550.0,1982.0,1902.0,2111.0,2171.0,2394.0,2307.0,2447.0,2790.0,3568.0,3933.0,4179.0,4025.0,4777.0,4628.0,4356.0,3570.0,3128.0,2993.0,2917.0,2309.0,2177.0,1883.0,1575.0,1415.0,1262.0,1133.0,882.0,894.0,1020.0,1122.0,1005.0,783.0,715.0,566.0,352.0,220.0
37,1190.0,קריית אתא,493.0,496.0,493.0,385.0,394.0,349.0,349.0,358.0,366.0,383.0,465.0,538.0,688.0,662.0,591.0,605.0,610.0,534.0,491.0,375.0,362.0,410.0,427.0,481.0,456.0,505.0,582.0,724.0,820.0,903.0,868.0,1027.0,1015.0,949.0,814.0,730.0,665.0,641.0,549.0,506.0,447.0,388.0,334.0,302.0,279.0,204.0,226.0,249.0,268.0,230.0,,,,,
38,1191.0,כפר סבא,2217.0,2278.0,2320.0,2159.0,2142.0,2058.0,2025.0,1976.0,1989.0,2018.0,2217.0,2465.0,2875.0,2854.0,2646.0,2707.0,2774.0,2581.0,2541.0,2260.0,2332.0,2628.0,2743.0,2932.0,2946.0,3053.0,3235.0,3487.0,3519.0,3565.0,3338.0,3555.0,3442.0,3263.0,2952.0,2721.0,2666.0,2641.0,2491.0,2331.0,2007.0,1682.0,1511.0,1351.0,1221.0,994.0,1013.0,1221.0,1363.0,1232.0,1020.0,924.0,716.0,470.0,260.0
39,1192.0,לוד,305.0,307.0,308.0,246.0,242.0,212.0,208.0,211.0,213.0,218.0,258.0,296.0,387.0,392.0,346.0,352.0,354.0,305.0,274.0,201.0,201.0,237.0,238.0,262.0,249.0,300.0,366.0,463.0,530.0,581.0,581.0,707.0,704.0,648.0,539.0,468.0,453.0,445.0,356.0,340.0,302.0,263.0,254.0,226.0,202.0,,,,,,,,,,
40,1193.0,אשקלון,777.0,779.0,795.0,692.0,708.0,663.0,624.0,603.0,618.0,634.0,735.0,863.0,1091.0,1056.0,947.0,964.0,971.0,841.0,758.0,553.0,592.0,688.0,730.0,840.0,857.0,1005.0,1239.0,1502.0,1651.0,1803.0,1733.0,2024.0,1945.0,1803.0,1708.0,1567.0,1510.0,1476.0,1236.0,1152.0,990.0,691.0,621.0,518.0,469.0,362.0,361.0,406.0,432.0,362.0,268.0,249.0,,,
41,1194.0,נס ציונה,1280.0,1302.0,1306.0,1184.0,1188.0,1167.0,1136.0,1107.0,1134.0,1163.0,1241.0,1355.0,1541.0,1510.0,1438.0,1464.0,1494.0,1433.0,1410.0,1278.0,1296.0,1368.0,1403.0,1482.0,1497.0,1539.0,1692.0,1921.0,2040.0,2129.0,2036.0,2115.0,2078.0,1960.0,1726.0,1588.0,1537.0,1524.0,1402.0,1304.0,1097.0,929.0,870.0,741.0,676.0,629.0,713.0,863.0,993.0,926.0,839.0,776.0,635.0,429.0,276.0
42,1196.0,נתניה,1614.0,1643.0,1666.0,1479.0,1488.0,1405.0,1355.0,1370.0,1389.0,1414.0,1580.0,1807.0,2228.0,2202.0,1976.0,2005.0,2033.0,1837.0,1710.0,1345.0,1311.0,1424.0,1484.0,1657.0,1610.0,1775.0,2058.0,2562.0,2816.0,3003.0,2857.0,3279.0,3190.0,2989.0,2506.0,2310.0,2217.0,2195.0,1907.0,1778.0,1537.0,1324.0,1229.0,1203.0,1105.0,886.0,919.0,1012.0,1091.0,903.0,636.0,580.0,462.0,268.0,
43,1200.0,פרדס חנה-כרכור,485.0,491.0,510.0,460.0,465.0,443.0,445.0,438.0,450.0,461.0,516.0,574.0,684.0,685.0,640.0,664.0,682.0,632.0,610.0,532.0,548.0,607.0,660.0,688.0,738.0,818.0,929.0,1048.0,1082.0,1076.0,1042.0,1053.0,990.0,908.0,792.0,766.0,741.0,736.0,682.0,662.0,562.0,475.0,405.0,378.0,336.0,308.0,298.0,350.0,401.0,368.0,307.0,281.0,219.0,,
44,1201.0,פתח תקווה,2598.0,2630.0,2648.0,2418.0,2455.0,2334.0,2349.0,2398.0,2417.0,2465.0,2667.0,3068.0,3642.0,3512.0,3113.0,3195.0,3273.0,3004.0,2745.0,2247.0,2267.0,2653.0,2786.0,3060.0,3005.0,3243.0,3640.0,4245.0,4393.0,4518.0,4239.0,4805.0,4640.0,4325.0,3829.0,3584.0,3477.0,3486.0,3083.0,2991.0,2630.0,2138.0,1840.0,1660.0,1457.0,1210.0,1213.0,1390.0,1527.0,1361.0,1147.0,1062.0,797.0,475.0,296.0
45,1203.0,קריית מוצקין,682.0,695.0,707.0,630.0,648.0,610.0,593.0,602.0,622.0,623.0,684.0,784.0,926.0,905.0,815.0,830.0,835.0,740.0,678.0,546.0,547.0,596.0,616.0,689.0,683.0,735.0,848.0,1016.0,1137.0,1185.0,1133.0,1295.0,1252.0,1168.0,1017.0,922.0,902.0,883.0,765.0,745.0,654.0,545.0,480.0,441.0,399.0,335.0,342.0,376.0,409.0,355.0,272.0,253.0,,,
46,1204.0,ראשון לציון,3679.0,3711.0,3743.0,3092.0,3123.0,3022.0,2901.0,2838.0,2899.0,3018.0,3676.0,4250.0,5038.0,4999.0,4538.0,4591.0,4572.0,3898.0,3509.0,2790.0,2713.0,2955.0,3089.0,3416.0,3337.0,3592.0,4132.0,5124.0,5656.0,5957.0,5676.0,6535.0,6339.0,5962.0,5028.0,4617.0,4493.0,4457.0,3827.0,3662.0,3169.0,2675.0,2307.0,2017.0,1806.0,1359.0,1466.0,1683.0,1878.0,1679.0,1344.0,1235.0,1016.0,586.0,364.0
